"","Location","Variable","Value","Duration","Rate","RR_uni","RR_multi"
"1","Blantyre","Overall","","2.5 (1.2 – 4.3)","4.14 (2.04 – 8.46)","",""
"2","Blantyre","Sex","Female","1.9 (0.6 – 3.5)","6.71 (2.39 – 19.85)","reference","reference"
"3","Blantyre","Sex","Male","3.4 (1.7 – 6.4)","2.73 (1.35 – 5.21)","0.57 (0.27 – 0.79)","0.57 (0.40 – 0.76)"
"4","Blantyre","Age","[15,50)","2.9 (1.6 – 4.9)","3.15 (1.66 – 5.73)","reference","reference"
"5","Blantyre","Age","[50,Inf)","1.4 (0.3 – 2.7)","11.02 (3.13 – 36.57)","3.10 (1.43 – 7.86)","3.91 (1.77 – 7.96)"
"6","Blantyre","HIV","NonHIV","4.5 (2.7 – 8.1)","1.48 (0.78 – 2.44)","reference","reference"
"7","Blantyre","HIV","HIV","1.5 (0.4 – 2.8)","8.62 (2.98 – 25.69)","4.01 (2.33 – 8.16)","5.53 (3.46 – 9.44)"
"8","Kenya","Overall","","6.1 (4.0 – 11.0)","0.80 (0.63 – 1.03)","",""
"9","Kenya","Sex","Female","4.8 (3.7 – 7.2)","1.01 (0.78 – 1.34)","reference","reference"
"10","Kenya","Sex","Male","5.9 (4.2 – 10.0)","0.62 (0.49 – 0.79)","0.62 (0.50 – 0.70)","0.97 (0.34 – 1.35)"
"11","Kenya","Age","[15,25)","5.3 (4.3 – 7.2)","0.48 (0.38 – 0.60)","reference","reference"
"12","Kenya","Age","[25,35)","5.0 (4.2 – 6.8)","0.57 (0.46 – 0.73)","1.18 (1.07 – 1.31)","0.94 (0.68 – 1.46)"
"13","Kenya","Age","[35,45)","4.5 (3.8 – 5.9)","0.85 (0.66 – 1.05)","1.73 (1.56 – 1.96)","1.41 (0.81 – 2.65)"
"14","Kenya","Age","[45,55)","4.2 (3.6 – 5.4)","1.02 (0.79 – 1.32)","2.07 (1.78 – 2.42)","2.31 (1.04 – 5.01)"
"15","Kenya","Age","[55,65)","3.6 (2.9 – 4.4)","1.55 (1.13 – 2.14)","3.08 (2.56 – 3.84)","4.61 (2.09 – 10.03)"
"16","Kenya","Age","[65,Inf)","2.8 (2.2 – 3.5)","2.38 (1.65 – 3.75)","4.69 (3.57 – 6.68)","21.71 (12.86 – 37.10)"
"17","Kenya","HIV","NonHIV","7.4 (4.2 – 11.5)","0.58 (0.45 – 0.74)","reference","reference"
"18","Kenya","HIV","HIV","3.7 (2.4 – 4.8)","2.17 (1.25 – 4.18)","3.39 (2.18 – 6.09)","3.51 (2.24 – 4.34)"
